2024-12-28 17:58:36,798 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 17:58:39,699 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 17:58:39,706 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 17:58:39,707 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 17:58:50,276 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 17:58:50,521 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 17:58:50,528 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 17:58:55,462 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 17:58:55,472 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 17:58:55,472 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 17:59:05,833 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 17:59:05,841 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 17:59:05,841 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:00:11,002 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:00:11,011 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:00:11,012 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:00:16,452 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:00:16,457 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:00:16,457 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:00:34,131 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:00:34,137 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:00:34,138 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:00:43,356 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:00:43,364 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:00:43,364 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:01:05,229 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:01:05,246 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:01:05,246 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:01:13,681 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
